feature_1,feature_2,pair_rp,pair_rs,pair_score_abs_avg
1,10,0.4957710729947061,0.415758139355373,0.45576460617503955
7,18,-0.4351815579172049,-0.44927814615452655,0.44222985203586573
11,17,0.4565008950649771,0.4147420636321044,0.4356214793485408
7,17,-0.4041744750231828,-0.4196320897023572,0.41190328236277
5,16,-0.4246732421897083,-0.38993055576771946,0.4073018989787139
10,17,0.4178810705830103,0.38682616422431315,0.4023536174036617
7,15,0.3762627736484244,0.4241696622164101,0.40021621793241724
4,9,0.4083324896879132,0.3870203931984019,0.39767644144315756
1,4,-0.3966579084537282,-0.39579307909314887,0.3962254937734385
2,15,-0.3755994196182474,-0.37204437537741825,0.3738218974978328
1,15,-0.36901813084862584,-0.3680595739635565,0.3685388524060912
4,15,0.36357330909978963,0.36980367916926127,0.3666884941345254
2,4,-0.3385223774627655,-0.3530620528344513,0.34579221514860836
4,5,-0.3686673678408857,-0.31062223311135556,0.33964480047612067
2,16,0.33944450097332246,0.31463652883518994,0.32704051490425623
4,18,-0.28948007589892266,-0.3309409301915784,0.31021050304525055
3,15,0.2897621773551196,0.32980028609845413,0.30978123172678684
5,9,-0.31453824653426715,-0.298887979039755,0.3067131127870111
11,15,-0.28298842522632606,-0.30797714266203113,0.2954827839441786
3,5,-0.31570396999426675,-0.25721049253614986,0.2864572312652083
4,17,-0.25239741449176073,-0.3143208914549538,0.28335915297335723
10,15,-0.26128755230427575,-0.2830796390887043,0.27218359569649003
3,18,-0.23750267925804014,-0.2999537394387059,0.26872820934837305
14,16,0.30961600992211225,0.2174725543996452,0.2635442821608787
15,17,-0.2597893107448646,-0.25030624358534154,0.2550477771651031
15,18,-0.2573664447828492,-0.2520184917132394,0.2546924682480443
3,16,0.25298040220830614,0.21217352697690495,0.23257696459260555
1,16,0.21838118841518064,0.22406296022662603,0.22122207432090335
3,17,-0.173084728617932,-0.2373417810007871,0.20521325480935954
9,15,0.17897411569891836,0.23009344385666422,0.2045337797777913
2,3,-0.17409512095032922,-0.23060683530493842,0.2023509781276338
1,3,-0.19401597327774175,-0.21060704924527918,0.20231151126151048
1,12,-0.1643908965258396,-0.18873419520105936,0.1765625458634495
7,16,0.16549694935594877,0.16945207299167578,0.1674745111738123
12,16,0.1160569988829935,0.19016453438942124,0.15311076663620737
14,18,0.15383795000551892,0.13989352309426786,0.14686573654989338
14,17,0.14100419423525246,0.137151853682216,0.13907802395873423
7,12,-0.14163451575123553,-0.13531147638678406,0.1384729960690098
2,12,-0.13147703016963716,-0.14522618659011197,0.13835160837987456
6,12,-0.12896057657350943,-0.12254052751464978,0.1257505520440796
1,14,-0.14641098002617284,-0.10067067781362862,0.12354082891990073
12,14,0.16511111818238838,0.06600427970344837,0.11555769894291837
3,12,-0.13078255990419022,-0.09427459560496732,0.11252857775457877
1,9,-0.11570899454812039,-0.08109093162818237,0.09839996308815138
12,18,0.07968084250141923,0.1160365507953563,0.09785869664838776
9,14,0.05780140793042246,0.10532753842945086,0.08156447317993666
2,14,-0.09572761894938417,-0.06543620424559883,0.0805819115974915
10,14,0.07670211101637145,0.0830737196597385,0.07988791533805498
6,14,0.03016146765760003,0.1290938591648036,0.07962766341120181
2,9,-0.07590283061968502,-0.08334331777592383,0.07962307419780443
12,15,0.07237347749803522,0.08660814046970917,0.0794908089838722
5,6,0.0468945776645317,0.09663367012794229,0.07176412389623699
9,17,0.08260406170739729,0.05781555073541574,0.07020980622140652
6,16,0.0589556649673147,0.07486129981612567,0.06690848239172019
4,16,0.07294359015353202,0.05725410982428249,0.06509884998890725
11,14,0.05994337881749572,0.07013409638560494,0.06503873760155034
5,12,0.03929555016981072,0.08553812698558924,0.06241683857769998
4,12,0.04000638833722661,0.08434284722693824,0.06217461778208243
3,14,-0.08699291005224284,-0.02701388235608875,0.05700339620416579
9,18,0.06332451966115937,0.04457218643042892,0.05394835304579415
5,10,0.03515503255331046,0.07211148969684958,0.05363326112508002
9,12,-0.05587989773907717,-0.04296095554495418,0.04942042664201568
10,12,0.039299888103817786,-0.054365355274135836,0.04683262168897681
11,12,0.057364537656354006,-0.02911348772735444,0.04323901269185422
5,15,0.02515938194292936,0.037126352082547116,0.03114286701273824
5,11,-0.015434771357339607,0.04575161548666249,0.03059319342200105
4,14,0.024818157650325457,-0.031169262249142446,0.02799370994973395
5,7,-0.01882596002988897,0.030606334876649887,0.02471614745326943
5,14,-0.020729388753695906,-0.027180712434813403,0.023955050594254654
11,16,0.02052893075425376,0.026123503089372432,0.023326216921813095
10,16,0.015501271841739956,-0.026835373350181147,0.02116832259596055
7,14,-0.0063895773742305775,0.024894717526813822,0.015642147450522198
15,16,0.004463143062179324,0.023322215244815703,0.013892679153497513
12,17,0.0026633642410110485,0.021048719182113623,0.011856041711562336
