feature_1,feature_2,pearson,spearman,mean_abs,mean_signed
$E_\mathrm{coh}$,$\sigma(I)$,-0.28948,-0.330941,0.310211,-0.310211
$V$,$\sigma(m)$,0.289762,0.3298,0.309781,0.309781
$\overline{|n|}$,$\overline{r}$,-0.314538,-0.298888,0.306713,-0.306713
$\overline{I}$,$\sigma(m)$,-0.282988,-0.307977,0.295483,-0.295483
$V$,$\overline{|n|}$,-0.315704,-0.25721,0.286457,-0.286457
$E_\mathrm{coh}$,$\sigma(\chi)$,-0.252397,-0.314321,0.283359,-0.283359
$\overline{\chi}$,$\sigma(m)$,-0.261288,-0.28308,0.272184,-0.272184
$V$,$\sigma(I)$,-0.237503,-0.299954,0.268728,-0.268728
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(r)$,0.267858,0.269055,0.268457,0.268457
$\sigma(p)$,$\sigma(r)$,0.309616,0.217473,0.263544,0.263544
$\overline{I}$,$\sigma(Z)$,-0.252757,-0.2679,0.260329,-0.260329
$\sigma(m)$,$\sigma(\chi)$,-0.259789,-0.250306,0.255048,-0.255048
$\sigma(m)$,$\sigma(I)$,-0.257366,-0.252018,0.254692,-0.254692
$V$,$\sigma(Z)$,0.236199,0.270363,0.253281,0.253281
$\overline{\chi}$,$\sigma(Z)$,-0.232863,-0.247249,0.240056,-0.240056
$E_\mathrm{g}^\mathrm{GW}$,$V$,-0.224615,-0.254659,0.239637,-0.239637
$V$,$\sigma(r)$,0.25298,0.212174,0.232577,0.232577
$\sigma(Z)$,$\sigma(I)$,-0.227775,-0.215772,0.221773,-0.221773
$\sigma(Z)$,$\sigma(\chi)$,-0.230471,-0.212111,0.221291,-0.221291
$E_\mathrm{g}^\mathrm{PBE}$,$\sigma(r)$,0.218381,0.224063,0.221222,0.221222
$V$,$\sigma(\chi)$,-0.173085,-0.237342,0.205213,-0.205213
$\overline{r}$,$\sigma(m)$,0.178974,0.230093,0.204534,0.204534
$E_\mathrm{g}^\mathrm{mBJ}$,$V$,-0.174095,-0.230607,0.202351,-0.202351
$E_\mathrm{g}^\mathrm{PBE}$,$V$,-0.194016,-0.210607,0.202312,-0.202312
$E_\mathrm{g}^\mathrm{PBE}$,$\sigma(|n|)$,-0.164391,-0.188734,0.176563,-0.176563
$\overline{r}$,$\sigma(Z)$,0.147015,0.190373,0.168694,0.168694
$\overline{p}$,$\sigma(r)$,0.165497,0.169452,0.167475,0.167475
$\sigma(|n|)$,$\sigma(r)$,0.116057,0.190165,0.153111,0.153111
$\sigma(p)$,$\sigma(I)$,0.153838,0.139894,0.146866,0.146866
$\sigma(p)$,$\sigma(\chi)$,0.141004,0.137152,0.139078,0.139078
$\overline{p}$,$\sigma(|n|)$,-0.141635,-0.135311,0.138473,-0.138473
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(|n|)$,-0.131477,-0.145226,0.138352,-0.138352
$E_\mathrm{g}^\mathrm{GW}$,$\overline{r}$,-0.141426,-0.115943,0.128685,-0.128685
$\overline{Z}$,$\sigma(|n|)$,-0.128961,-0.122541,0.125751,-0.125751
$E_\mathrm{g}^\mathrm{PBE}$,$\sigma(p)$,-0.146411,-0.100671,0.123541,-0.123541
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(|n|)$,-0.104441,-0.13411,0.119276,-0.119276
$\overline{m}$,$\sigma(|n|)$,-0.123941,-0.114415,0.119178,-0.119178
$\sigma(|n|)$,$\sigma(p)$,0.165111,0.066004,0.115558,0.115558
$V$,$\sigma(|n|)$,-0.130783,-0.094275,0.112529,-0.112529
$E_\mathrm{g}^\mathrm{PBE}$,$\overline{r}$,-0.115709,-0.081091,0.0984,-0.0984
$\sigma(|n|)$,$\sigma(I)$,0.079681,0.116037,0.097859,0.097859
$\overline{m}$,$\sigma(p)$,0.03858,0.150556,0.094568,0.094568
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(p)$,-0.112434,-0.074937,0.093686,-0.093686
$\sigma(|n|)$,$\sigma(Z)$,0.083598,0.097907,0.090752,0.090752
$\overline{r}$,$\sigma(p)$,0.057801,0.105328,0.081564,0.081564
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(p)$,-0.095728,-0.065436,0.080582,-0.080582
$\overline{\chi}$,$\sigma(p)$,0.076702,0.083074,0.079888,0.079888
