num,matername,gap_g0w0,gap_pbe,gap_mbj,vol,cohesive,valence,number,period,mass,vdw,EN,EA,valence_std,number_std,period_std,mass_std,vdw_std,EN_std,EA_std
312,CaYAlO4,6.1561,3.6201999999999996,5.1057999999999995,11.09467787794549,-6.5270676548571425,2.2857142857142856,14.857142857142858,2.857142857142857,31.423571428571428,1.792857142857143,2.512857142857143,10.398385714285714,0.45175395145262565,10.696175169905649,1.124858267715973,24.929647844955,0.3475100938190464,1.0832321250473944,3.718322343833716
313,Sr2ScGaO5,5.116300000000001,2.7354,4.717499999999999,14.168635733328479,-5.8406932959999995,2.2222222222222223,18.666666666666668,3.111111111111111,41.102111111111114,1.8444444444444446,2.4744444444444444,10.226788888888889,0.41573970964154905,12.797569213634977,1.286204100310025,30.390816640866458,0.4019151682496393,1.1051808410201585,3.798932511010149
314,Sr2GaSbO6,4.3042,1.5673,3.0119,12.28423037014085,-5.1015502904,2.4,20.6,3.1,46.271300000000004,1.8030000000000002,2.6399999999999997,10.770610000000001,0.9165151389911681,16.094719630984567,1.374772708486752,38.94169486822575,0.386653591732962,1.0290383860673031,3.572329926098652
315,CdCu2GeS4,1.4489999999999998,0.4779,1.0419999999999998,19.40420394581182,-3.4389482129999998,2.0,25.25,3.625,55.047125,1.92625,2.2275,9.22325,0.8660254037844386,10.80219885023415,0.6959705453537527,27.055634604632264,0.1432600345525576,0.3618960486106474,1.1966175360155806
316,Sr2NbInO6,6.0101,3.6961,4.5150999999999994,13.447576608296862,-5.9337947564,2.4,21.4,3.2,47.897,1.8210000000000002,2.592,10.56437,0.9165151389911681,16.656530250925613,1.469693845669907,39.70541929006669,0.3974279808971684,1.0653806831363144,3.7508089378292784
317,RbNaTiO3,6.6509,3.5749999999999993,4.6381,14.616086441885791,-5.352803915833333,2.0,15.666666666666666,3.0,34.056333333333335,1.995,2.268333333333333,9.499766666666668,1.0,10.7496769977314,1.1547005383792515,25.608626422013,0.5533157627732408,1.1928735147626601,4.19058479080055
318,Li2CdGeO4,5.150399999999999,2.5202,4.6497,11.793422652727417,-4.415906428,2.0,14.75,2.625,32.880125,1.75125,2.4275,10.268625,0.8660254037844386,15.2540978100968,1.1110243021644486,36.0241312540549,0.25881641659678395,1.0612109827927716,3.5299279719103334
319,CeSiO4,4.422000000000001,1.6060000000000003,1.6553000000000004,12.62726279158295,-6.917876741666667,2.6666666666666665,17.333333333333332,2.8333333333333335,38.7,1.7666666666666666,2.796666666666667,11.360466666666667,0.9428090415820634,18.31817555204545,1.4624940645653537,45.56833778330447,0.3608631627393162,0.9372595988068383,3.280670249439214
320,CdAg2I4,3.5544000000000002,1.7747000000000002,2.9001,36.152596565727364,-1.9794503962857142,1.1428571428571428,50.57142857142857,5.0,119.39471428571427,2.045714285714286,2.312857142857143,9.421628571428572,0.3499271061118826,2.821202522590214,0.0,8.783588897390825,0.07889543583705189,0.4076312859756014,1.2668940374162379
321,Rb2Li2GeO4,6.4371,3.5351000000000004,5.8293,15.027251193319724,-4.255763060555555,1.7777777777777777,16.0,2.888888888888889,35.72955555555556,1.9877777777777779,2.152222222222222,9.0566,0.9162456945817024,13.872434697789874,1.286204100310025,32.51433886460663,0.5886854994680526,1.1996089897942004,4.2038377355300796
